City,Activity,Activity Address,Best Time to Visit,Estimated Budget (INR)
Bhubaneswar,Wildlife Safari,"77, Cultural District, Bhubaneswar",October to February,7068
Nagpur,Wildlife Safari,"47, Main Street, Nagpur",November to February,6355
Jodhpur,Shopping,"145, Market Road, Jodhpur",November to February,2784
Surat,Historical Tour,"131, Hill View Road, Surat",November to February,4332
Udaipur,Temple Visit,"89, Cultural District, Udaipur",November to February,1197
Vadodara,River Rafting,"29, Central Plaza, Vadodara",November to February,7332
Puri,Food Tasting,"78, Old Town, Puri",November to March,1550
Nagpur,Wildlife Safari,"118, Old Town, Nagpur",October to March,7708
Kochi,Shopping,"24, Old Town, Kochi",November to February,5546
Shillong,Sightseeing,"11, Lake Side, Shillong",October to February,5002
Shillong,River Rafting,"74, Riverfront Area, Shillong",November to March,8577
Ahmedabad,Temple Visit,"37, Hill View Road, Ahmedabad",October to March,2402
Chennai,Cultural Tour,"105, Cultural District, Chennai",December to March,5365
Jodhpur,Temple Visit,"119, Old Town, Jodhpur",November to February,1063
Manali,Wildlife Safari,"101, Market Road, Manali",October to March,5722
Puri,River Rafting,"44, Temple Road, Puri",November to March,6931
Pondicherry,Adventure Sports,"23, Central Plaza, Pondicherry",December to March,9983
Vadodara,Sightseeing,"50, Cultural District, Vadodara",October to March,5893
Kavaratti,Cultural Tour,"123, Old Town, Kavaratti",November to April,5106
Goa,Shopping,"141, Cultural District, Goa",November to February,3249
Pondicherry,Trekking,"63, Hill View Road, Pondicherry",December to March,7293
Ahmedabad,Museum Visit,"73, Central Plaza, Ahmedabad",November to February,1221
Thiruvananthapuram,Trekking,"53, Central Plaza, Thiruvananthapuram",December to March,4206
Varanasi,Food Tasting,"123, Heritage Lane, Varanasi",September to February,2146
Mysore,Trekking,"141, Main Street, Mysore",November to February,6214
Puri,Historical Tour,"36, Garden Street, Puri",November to March,4380
Amritsar,Historical Tour,"101, Heritage Lane, Amritsar",September to February,6699
Jaipur,Shopping,"70, Market Road, Jaipur",October to March,2875
Pondicherry,Shopping,"121, Beachside Promenade, Pondicherry",December to March,2172
Puri,Beach Visit,"135, Hill View Road, Puri",October to February,5016
Bengaluru,Sightseeing,"27, Riverfront Area, Bengaluru",December to March,3362
Indore,Shopping,"20, Riverfront Area, Indore",October to March,5763
Pondicherry,Beach Visit,"116, Heritage Lane, Pondicherry",November to February,3006
Ahmedabad,Cultural Tour,"140, Hill View Road, Ahmedabad",October to March,7589
Agartala,River Rafting,"76, Heritage Lane, Agartala",October to February,7239
Bengaluru,Shopping,"58, Beachside Promenade, Bengaluru",December to March,2210
Thiruvananthapuram,Adventure Sports,"140, Central Plaza, Thiruvananthapuram",December to March,14094
Varanasi,Sightseeing,"9, Temple Road, Varanasi",September to February,4503
Shimla,Cultural Tour,"44, Riverfront Area, Shimla",September to February,6347
Bengaluru,Wildlife Safari,"55, Riverfront Area, Bengaluru",November to February,5936
Surat,Sightseeing,"47, Lake Side, Surat",November to February,3045
Shillong,River Rafting,"57, Lake Side, Shillong",October to February,10492
Kavaratti,Adventure Sports,"99, Market Road, Kavaratti",November to April,7878
Gangtok,Trekking,"145, Hill View Road, Gangtok",October to February,6445
Puri,Historical Tour,"117, Hill View Road, Puri",October to February,6405
Agra,Wildlife Safari,"29, Old Town, Agra",September to February,7365
Leh,Adventure Sports,"36, Temple Road, Leh",September to February,9971
Thiruvananthapuram,Cultural Tour,"127, Garden Street, Thiruvananthapuram",November to February,5147
Mysore,Food Tasting,"22, Lake Side, Mysore",December to March,3312
Pondicherry,Museum Visit,"122, Main Street, Pondicherry",December to March,1804
Imphal,Historical Tour,"104, Riverfront Area, Imphal",November to March,7913
Bengaluru,Adventure Sports,"95, Market Road, Bengaluru",November to February,10069
Daman,Temple Visit,"114, Heritage Lane, Daman",December to March,2342
Coimbatore,Museum Visit,"20, Main Street, Coimbatore",November to February,1535
Patna,Adventure Sports,"53, Lake Side, Patna",November to March,10441
Kolkata,Adventure Sports,"68, Old Town, Kolkata",October to February,9888
Coimbatore,Adventure Sports,"78, Old Town, Coimbatore",December to March,7563
Chennai,Trekking,"78, Main Street, Chennai",November to February,8975
Agra,Museum Visit,"108, Central Plaza, Agra",September to February,1531
Coimbatore,Historical Tour,"127, Old Town, Coimbatore",November to February,7887
Amritsar,Museum Visit,"107, Heritage Lane, Amritsar",October to March,2495
Puri,Adventure Sports,"140, Market Road, Puri",November to March,8036
Vadodara,Sightseeing,"18, Old Town, Vadodara",November to February,3611
Jaipur,Adventure Sports,"66, Heritage Lane, Jaipur",October to March,10004
Port Blair,Temple Visit,"66, Cultural District, Port Blair",December to March,2619
Pondicherry,Beach Visit,"89, Garden Street, Pondicherry",December to March,3614
Pondicherry,Historical Tour,"90, Old Town, Pondicherry",December to March,4265
Kochi,Museum Visit,"109, Lake Side, Kochi",November to February,1357
Jodhpur,Cultural Tour,"102, Old Town, Jodhpur",October to March,6911
Surat,Adventure Sports,"84, Main Street, Surat",October to March,9418
Chandigarh,Shopping,"61, Market Road, Chandigarh",September to February,3495
Thiruvananthapuram,River Rafting,"143, Cultural District, Thiruvananthapuram",December to March,9565
Indore,Museum Visit,"119, Market Road, Indore",October to March,1612
Delhi,Beach Visit,"118, Temple Road, Delhi",October to March,4242
Coimbatore,Food Tasting,"128, Cultural District, Coimbatore",December to March,3195
Pune,Trekking,"94, Market Road, Pune",October to March,6386
Lakshadweep,Shopping,"144, Temple Road, Lakshadweep",December to March,5076
Goa,River Rafting,"6, Riverfront Area, Goa",October to March,10710
Kochi,Shopping,"144, Hill View Road, Kochi",November to February,2251
Coimbatore,Cultural Tour,"91, Garden Street, Coimbatore",November to February,6908
Nagpur,Shopping,"144, Market Road, Nagpur",October to March,5957
Puri,Historical Tour,"122, Market Road, Puri",November to March,7929
Jodhpur,Shopping,"99, Main Street, Jodhpur",October to March,5273
Agra,Museum Visit,"55, Cultural District, Agra",October to March,1519
Indore,Cultural Tour,"63, Lake Side, Indore",October to March,6483
Puri,Sightseeing,"143, Riverfront Area, Puri",November to March,5069
Bengaluru,Shopping,"109, Hill View Road, Bengaluru",December to March,5090
Patna,Temple Visit,"76, Riverfront Area, Patna",October to February,1329
Coimbatore,Sightseeing,"45, Hill View Road, Coimbatore",November to February,5802
Bhubaneswar,Cultural Tour,"128, Cultural District, Bhubaneswar",November to March,5260
Goa,Temple Visit,"113, Hill View Road, Goa",November to February,1672
Mumbai,Adventure Sports,"120, Old Town, Mumbai",October to March,14049
Chandigarh,Historical Tour,"14, Garden Street, Chandigarh",October to March,7548
Shillong,Temple Visit,"51, Riverfront Area, Shillong",October to February,1210
Pondicherry,Shopping,"53, Market Road, Pondicherry",December to March,5719
Mumbai,Cultural Tour,"147, Main Street, Mumbai",November to February,5869
Mysore,River Rafting,"109, Cultural District, Mysore",December to March,11488
Bengaluru,Food Tasting,"95, Beachside Promenade, Bengaluru",December to March,3137
Ranchi,Trekking,"44, Central Plaza, Ranchi",October to February,8671
Ahmedabad,Museum Visit,"144, Central Plaza, Ahmedabad",October to March,1020
Port Blair,Beach Visit,"129, Cultural District, Port Blair",December to March,5259
Udaipur,Beach Visit,"43, Riverfront Area, Udaipur",October to March,2697
Hyderabad,River Rafting,"23, Central Plaza, Hyderabad",December to March,10717
Rishikesh,Food Tasting,"128, Heritage Lane, Rishikesh",October to March,3754
Kolkata,Temple Visit,"138, Main Street, Kolkata",October to February,2434
Patna,Sightseeing,"130, Market Road, Patna",October to February,4534
Puri,River Rafting,"83, Old Town, Puri",November to March,11063
Madurai,Historical Tour,"48, Temple Road, Madurai",December to March,3315
Ahmedabad,Historical Tour,"28, Heritage Lane, Ahmedabad",November to February,5636
Varanasi,Beach Visit,"102, Temple Road, Varanasi",September to February,4955
Ranchi,Cultural Tour,"43, Beachside Promenade, Ranchi",October to February,7148
Goa,Cultural Tour,"96, Riverfront Area, Goa",October to March,6702
Goa,Cultural Tour,"20, Riverfront Area, Goa",October to March,7992
Jaipur,Museum Visit,"21, Beachside Promenade, Jaipur",October to March,2174
Gangtok,Beach Visit,"87, Market Road, Gangtok",October to February,2578
Thiruvananthapuram,Wildlife Safari,"29, Temple Road, Thiruvananthapuram",November to February,9685
Bhubaneswar,Adventure Sports,"47, Heritage Lane, Bhubaneswar",November to March,13350
Jodhpur,Sightseeing,"89, Hill View Road, Jodhpur",October to March,4693
Leh,River Rafting,"42, Market Road, Leh",September to February,7221
Port Blair,Beach Visit,"28, Garden Street, Port Blair",November to April,5366
Vadodara,River Rafting,"54, Main Street, Vadodara",November to February,7354
Hyderabad,Wildlife Safari,"125, Lake Side, Hyderabad",December to March,8644
Kochi,Wildlife Safari,"141, Lake Side, Kochi",December to March,8780
Agra,Temple Visit,"14, Main Street, Agra",September to February,1784
Patna,Shopping,"8, Heritage Lane, Patna",October to February,5296
Chandigarh,Sightseeing,"119, Temple Road, Chandigarh",September to February,5274
Leh,Museum Visit,"54, Hill View Road, Leh",September to February,2152
Mumbai,Wildlife Safari,"89, Cultural District, Mumbai",October to March,7242
Mumbai,Beach Visit,"77, Old Town, Mumbai",November to February,4921
Varanasi,Trekking,"25, Main Street, Varanasi",October to March,7781
Jodhpur,Trekking,"148, Main Street, Jodhpur",November to February,7620
Ranchi,Temple Visit,"73, Central Plaza, Ranchi",October to February,2654
Leh,Food Tasting,"122, Central Plaza, Leh",September to February,2275
Indore,Museum Visit,"21, Main Street, Indore",November to February,2547
Bengaluru,Sightseeing,"34, Beachside Promenade, Bengaluru",November to February,6299
Madurai,Trekking,"75, Temple Road, Madurai",November to February,8586
Agartala,Adventure Sports,"131, Garden Street, Agartala",November to March,13606
Agartala,Adventure Sports,"28, Market Road, Agartala",October to February,9303
Goa,Museum Visit,"44, Riverfront Area, Goa",November to February,1460
Pondicherry,Food Tasting,"4, Main Street, Pondicherry",December to March,2475
Daman,Beach Visit,"105, Temple Road, Daman",November to April,5314
Diu,Trekking,"94, Old Town, Diu",November to April,6388
Puri,Cultural Tour,"20, Beachside Promenade, Puri",October to February,7645
Leh,Historical Tour,"30, Lake Side, Leh",October to March,4615
Vijayawada,Historical Tour,"138, Riverfront Area, Vijayawada",December to March,4778
Ahmedabad,Cultural Tour,"48, Main Street, Ahmedabad",October to March,7769
Bengaluru,Trekking,"36, Heritage Lane, Bengaluru",November to February,4626
Port Blair,Sightseeing,"14, Heritage Lane, Port Blair",November to April,5257
Hyderabad,Museum Visit,"150, Cultural District, Hyderabad",November to February,2708
Bhubaneswar,Food Tasting,"66, Lake Side, Bhubaneswar",October to February,1735
Diu,River Rafting,"45, Garden Street, Diu",December to March,10574
Nagpur,Wildlife Safari,"134, Garden Street, Nagpur",October to March,9447
Goa,Museum Visit,"57, Temple Road, Goa",November to February,2562
Hyderabad,Historical Tour,"2, Hill View Road, Hyderabad",November to February,6478
Pondicherry,Sightseeing,"6, Heritage Lane, Pondicherry",December to March,4241
Kochi,Trekking,"96, Old Town, Kochi",December to March,7825
Nagpur,Food Tasting,"144, Central Plaza, Nagpur",November to February,3392
Bengaluru,Sightseeing,"109, Temple Road, Bengaluru",December to March,3392
Lakshadweep,Food Tasting,"45, Main Street, Lakshadweep",November to April,2904
Kolkata,Museum Visit,"31, Market Road, Kolkata",November to March,2241
Chandigarh,Sightseeing,"33, Lake Side, Chandigarh",October to March,5118
Gangtok,Museum Visit,"104, Lake Side, Gangtok",October to February,2817
Bengaluru,Food Tasting,"44, Garden Street, Bengaluru",November to February,1712
Pune,Trekking,"39, Old Town, Pune",October to March,6560
Imphal,Wildlife Safari,"116, Beachside Promenade, Imphal",October to February,5480
Madurai,Trekking,"58, Beachside Promenade, Madurai",November to February,4614
Patna,River Rafting,"67, Central Plaza, Patna",November to March,9627
Surat,Beach Visit,"122, Lake Side, Surat",November to February,3083
Chandigarh,Museum Visit,"85, Old Town, Chandigarh",September to February,1241
Vijayawada,River Rafting,"129, Heritage Lane, Vijayawada",December to March,7127
Vadodara,Adventure Sports,"30, Garden Street, Vadodara",November to February,8958
Gangtok,River Rafting,"111, Old Town, Gangtok",November to March,7972
Patna,Sightseeing,"89, Riverfront Area, Patna",November to March,4252
Ranchi,Cultural Tour,"112, Riverfront Area, Ranchi",October to February,6462
Darjeeling,Temple Visit,"35, Heritage Lane, Darjeeling",October to February,2478
Port Blair,Food Tasting,"109, Hill View Road, Port Blair",November to April,3537
Port Blair,Shopping,"18, Lake Side, Port Blair",November to April,5397
Surat,Museum Visit,"138, Beachside Promenade, Surat",October to March,2309
Nagpur,Trekking,"137, Temple Road, Nagpur",November to February,8491
Surat,Adventure Sports,"48, Market Road, Surat",November to February,12278
Shillong,Wildlife Safari,"42, Cultural District, Shillong",October to February,5146
Jodhpur,Sightseeing,"100, Main Street, Jodhpur",November to February,4778
Puri,Adventure Sports,"19, Temple Road, Puri",November to March,13469
Darjeeling,Trekking,"145, Market Road, Darjeeling",October to February,6346
Port Blair,Trekking,"53, Central Plaza, Port Blair",December to March,5899
Delhi,Adventure Sports,"13, Garden Street, Delhi",September to February,7783
Lakshadweep,River Rafting,"29, Temple Road, Lakshadweep",November to April,6805
Leh,Cultural Tour,"145, Riverfront Area, Leh",September to February,6535
Goa,Temple Visit,"24, Cultural District, Goa",November to February,1814
Agra,Food Tasting,"57, Beachside Promenade, Agra",October to March,2667
Lakshadweep,Shopping,"19, Garden Street, Lakshadweep",November to April,5185
Kavaratti,Adventure Sports,"123, Market Road, Kavaratti",November to April,10410
Ranchi,Shopping,"100, Market Road, Ranchi",November to March,3096
Ahmedabad,Cultural Tour,"75, Hill View Road, Ahmedabad",November to February,7369
Bhubaneswar,Temple Visit,"72, Cultural District, Bhubaneswar",November to March,3461
